tax_id,age,employment_duration,annual_income,credit_history_length,num_credit_cards,payment_history,late_payments,credit_inquiries,credit_limit,credit_utilization,last_late_payment_days,savings_balance,checking_balance,investment_balance,avg_monthly_transactions,avg_transaction_value,international_transactions_ratio,digital_banking_score,mobile_banking_usage,online_transactions_ratio,e_statement_enrolled,current_debt,monthly_expenses,auto_loan_balance,mortgage_balance,investment_loan_balance,debt_to_income,credit_score
195-10-1095,43.49871043101244,18.2,65169.99,23.7,2,98.7517,0,1,1648.6,0.3496,61.0,50457.32,1751.31,716.68,27.8,83.75,0.1737,87.9941,45.6397,0.9639,1,92031.51,4301.23,7431.4,1027237.84,54884.01,120.0,779
196-10-1096,71.98286016433946,18.5,27357.88,11.5,2,89.2878,3,0,13910.59,0.3557,122.0,5079.89,2222.89,7835.02,51.6,37.92,0.151,69.5565,88.6914,0.9385,0,32175.43,1046.46,13703.2,190206.82,21538.95,120.0,718
197-10-1097,54.87073240720207,25.5,46517.22,11.7,2,72.5941,0,0,2067.42,0.3385,116.0,12490.88,3212.33,375.88,23.6,32.57,0.3371,33.4754,45.98,0.8007,1,12756.39,2391.15,45277.45,98805.76,1622.98,120.0,738
198-10-1098,41.368611822345784,26.0,121956.3,14.2,1,93.4583,2,2,47006.18,0.4832,65.0,310282.9,1246.38,6699.35,34.9,46.65,0.148,53.0334,82.6972,0.4111,1,14162.83,4244.79,46595.85,46933.6,74672.15,120.0,778
199-10-1099,58.34791333778128,15.7,78402.84,22.2,3,77.3244,1,0,2393.32,0.023,56.0,11309.39,6101.16,698.15,43.8,108.05,0.3011,85.3451,67.0926,0.5406,0,20404.13,4295.0,37619.1,119962.31,100579.46,120.0,763
200-10-1100,60.39763136265435,10.4,35387.01,13.4,2,67.843,1,1,2042.44,0.2414,281.0,19798.06,3258.51,2365.25,29.4,36.12,0.3965,62.64,73.4475,0.9345,1,24134.87,2254.81,20637.37,618499.92,3767.22,120.0,723
201-10-1101,54.21719145556058,22.2,18000.0,26.6,0,73.1552,1,0,200000.0,0.1608,365.0,20664.28,6542.58,10521.07,30.1,55.5,0.2466,70.2015,18.8981,0.7252,1,13043.13,1326.65,23596.84,103243.9,89182.74,120.0,721
202-10-1102,47.655409940868864,21.6,96928.96,14.0,1,86.7974,1,1,12420.11,0.5848,249.0,7131.96,2527.78,1643.37,49.3,38.38,0.196,83.6187,58.0317,0.7882,1,61707.6,4908.65,5459.1,571316.33,18395.2,120.0,756
203-10-1103,43.168474149901925,19.5,44771.22,12.1,4,62.2415,0,2,19736.21,0.0843,39.0,1213.22,4097.27,725.16,21.9,26.05,0.2477,96.9573,62.5977,0.5963,1,7379.32,2997.02,37885.49,21946.8,2832.81,120.0,727
204-10-1104,49.250489694954574,15.7,67670.75,10.8,5,61.3055,1,0,173631.99,0.1926,139.0,18535.55,2540.32,11579.86,96.6,54.15,0.0841,26.206,67.0708,0.5943,1,35896.78,3955.56,25677.69,68321.42,54485.15,120.0,743
205-10-1105,53.46032850886324,13.4,54403.95,10.9,4,97.5774,1,2,52588.83,0.1458,86.0,2011.95,2480.68,429.55,49.7,86.38,0.1142,84.1174,66.5443,0.6497,0,12562.02,718.93,2473.29,384348.61,142101.5,120.0,756
