tax_id,annual_income,credit_score,payment_history,employment_length,debt_to_income_ratio,age,num_credit_cards,num_loan_accounts,total_credit_limit,credit_utilization_ratio,auto_loan_limit,loan_eligible,risk_score,risk_category,max_loan_term,interest_rate
165-10-1065,21997.71,733,81.0519,9.5,0.5471,49.27611012940503,1,3,13690.19,0.2727,0,False,70.24799670454547,Low Risk,72,10.45280049431818
166-10-1066,50452.03,763,71.3679,20.6,0.3943,34.64130871862922,3,1,23049.7,0.116,189000,True,77.76488428030304,Low Risk,72,9.325267357954544
167-10-1067,57802.34,741,71.6918,10.6,0.4059,49.74092048766686,4,1,50093.92,0.8814,0,False,68.9079271969697,Low Risk,72,10.653810920454546
168-10-1068,185633.61,768,90.0015,5.0,0.4101,50.593768237393135,0,3,148835.77,0.3035,286000,True,75.5956181818182,Low Risk,72,9.65065727272727
169-10-1069,41213.04,760,83.2632,8.4,0.3916,80.71077580135352,1,3,27924.91,0.5738,100000,True,71.43057727272726,Low Risk,72,10.27541340909091
170-10-1070,62196.08,780,91.4707,22.7,0.4552,48.15201574490429,0,4,34082.22,0.0801,77000,True,79.80209787878788,Low Risk,72,9.019685318181818
172-10-1072,85312.45,765,83.837,31.3,0.5088,62.55415352933584,0,1,75672.0,0.4227,0,False,77.05399450757577,Low Risk,72,9.431900823863636
173-10-1073,23582.97,751,81.9548,10.9,0.3813,57.94727602942621,7,2,14711.51,0.2496,73000,True,75.85808375,Low Risk,72,9.6112874375
174-10-1074,18000.0,715,68.7063,13.3,0.4453,65.80626585307043,3,2,15052.69,0.5998,34000,True,66.22285090909091,Low Risk,72,11.056572363636363
175-10-1075,20821.73,726,61.0385,11.7,0.4848,38.13618365013527,1,1,15213.17,0.1151,48000,True,70.76136299242424,Low Risk,72,10.375795551136363
176-10-1076,49085.89,764,75.5016,14.6,0.4492,41.24286401779548,5,4,24740.58,0.0116,60000,True,75.81883814393939,Low Risk,72,9.617174278409092
177-10-1077,50833.59,740,87.4249,6.9,0.5715,44.76595277614844,0,4,37630.02,0.1558,0,False,70.37254625,Low Risk,72,10.434118062500001
178-10-1078,132495.02,770,66.6632,11.1,0.4355,37.08436885492745,2,1,92170.44,0.0641,347000,True,80.06823090909091,Very Low Risk,84,8.979765363636362
179-10-1079,173774.12,807,85.9045,16.2,0.3257,50.67648906068963,3,2,166872.63,0.3179,535000,True,84.38003636363636,Very Low Risk,84,8.332994545454545
180-10-1080,170868.51,809,95.1904,22.8,0.478,41.81041820127427,5,1,131584.42,0.1889,447000,True,86.36998909090909,Very Low Risk,84,8.034501636363636
181-10-1081,133988.59,779,58.9902,16.9,0.3556,67.71516308490693,1,1,128905.68,0.4547,501000,True,76.39885818181818,Low Risk,72,9.530171272727273
182-10-1082,255966.08,773,83.6233,13.0,0.4417,42.92285465523361,7,3,178248.74,0.3201,434000,True,78.99815999999998,Low Risk,72,9.140276000000002
183-10-1083,82351.58,752,85.1798,8.5,0.522,46.94704162393271,3,1,52686.5,0.4202,0,False,74.69891219696969,Low Risk,72,9.785163170454547
186-10-1086,27445.54,720,84.8517,7.1,0.5371,36.69263445040831,4,3,15888.69,0.1247,0,False,69.63767689393939,Low Risk,72,10.544348465909092
187-10-1087,115598.78,797,71.7865,19.6,0.3925,51.843338762124986,2,3,90648.3,0.2023,280000,True,79.89068856060607,Low Risk,72,9.00639671590909
188-10-1088,57929.69,732,68.3594,20.9,0.4817,52.614457161474085,2,1,52779.6,0.5569,133000,True,69.78202617424242,Low Risk,72,10.522696073863639
189-10-1089,152242.91,762,73.4892,3.2,0.4379,58.28777346525988,0,4,70603.95,0.5792,171000,True,65.93734,Low Risk,72,11.099398999999998
190-10-1090,136933.68,811,85.5837,13.0,0.4309,55.39122240729929,3,1,115781.26,0.2033,358000,True,85.13842181818181,Very Low Risk,84,8.219236727272728
192-10-1092,25761.98,733,91.9283,13.4,0.509,43.78888093996335,5,0,23577.37,0.3588,0,False,75.79062128787878,Low Risk,72,9.621406806818182
193-10-1093,153994.89,792,81.2248,12.0,0.5832,52.32998019278649,2,0,116256.06,0.2349,0,False,81.45705090909092,Very Low Risk,84,8.77144236363636
194-10-1094,42993.64,736,56.9,27.7,0.4469,52.958259926908255,3,1,14578.92,0.1934,98000,True,71.27935621212121,Low Risk,72,10.298096568181819
195-10-1095,65169.99,769,98.7517,18.2,0.5317,43.49871043101244,2,2,52749.95,0.4388,0,False,77.94771079545455,Low Risk,72,9.297843380681817
196-10-1096,27357.88,721,89.2878,18.5,0.5292,71.98286016433946,2,0,17200.94,0.6673,0,False,71.17738075757576,Low Risk,72,10.313392886363637
197-10-1097,46517.22,773,72.5941,25.5,0.4807,54.87073240720207,2,1,19911.75,0.3459,122000,True,74.8875375,Low Risk,72,9.756869375
198-10-1098,121956.3,800,93.4583,26.0,0.4582,41.36861182234578,1,1,86132.49,0.2508,319000,True,85.12884181818181,Very Low Risk,84,8.220673727272729
199-10-1099,78402.84,782,77.3244,15.7,0.3941,58.34791333778128,3,2,51795.27,0.1277,241000,True,80.21589227272727,Very Low Risk,84,8.95761615909091
200-10-1100,35387.01,749,67.843,10.4,0.4909,60.39763136265435,2,1,33437.77,0.3987,81000,True,71.26528602272727,Low Risk,72,10.30020709659091
201-10-1101,18000.0,715,73.1552,22.2,0.56,54.21719145556058,0,2,11132.68,0.6521,0,False,64.8691309090909,Moderate Risk,60,11.259630363636365
202-10-1102,96928.96,790,86.7974,21.6,0.4733,47.655409940868864,1,1,87611.29,0.2774,254000,True,81.70650484848484,Very Low Risk,84,8.734024272727273
203-10-1103,44771.22,748,62.2415,19.5,0.553,43.168474149901925,4,2,26098.61,0.1779,0,False,70.7488584090909,Low Risk,72,10.377671238636365
204-10-1104,67670.75,750,61.3055,15.7,0.5498,49.250489694954574,5,1,61210.7,0.4245,0,False,70.22507821969698,Low Risk,72,10.456238267045453
205-10-1105,54403.95,754,97.5774,13.4,0.4974,53.46032850886324,4,1,43139.57,0.5786,142000,True,76.42622034090908,Low Risk,72,9.526066948863637
207-10-1107,92405.32,773,77.05,12.0,0.5169,66.45890510489141,1,2,72867.09,0.4621,0,False,74.98572166666666,Low Risk,72,9.74214175
209-10-1109,66484.74,754,69.4063,12.9,0.4774,42.31489929618615,1,0,54775.2,0.1844,205000,True,76.53736659090907,Low Risk,72,9.509395011363639
210-10-1110,80041.39,764,66.7584,9.3,0.4575,40.61246879851404,6,2,64663.26,0.3471,173000,True,73.1805106439394,Low Risk,72,10.01292340340909
211-10-1111,153778.58,755,58.124,21.7,0.587,54.96384541604783,2,2,121707.16,0.0309,0,False,74.46534545454546,Low Risk,72,9.820198181818181
212-10-1112,62101.15,777,81.8768,15.7,0.4501,47.86007678577782,1,1,44414.5,0.2033,163000,True,79.53295337121213,Low Risk,72,9.060056994318181
214-10-1114,96024.79,758,96.7092,18.2,0.4633,54.86432230654913,3,0,89386.13,0.4811,296000,True,80.72782746212121,Very Low Risk,84,8.880825880681819
215-10-1115,32155.32,727,51.251,13.2,0.4805,49.29171621060201,0,1,24453.56,0.046,74000,True,70.09523227272727,Low Risk,72,10.47571515909091
216-10-1116,37456.35,765,54.9331,14.8,0.549,42.3995520775536,1,1,29104.8,0.2349,0,False,70.55421034090911,Low Risk,72,10.406868448863634
217-10-1117,42196.44,753,82.7432,16.7,0.532,37.33408795655564,2,2,17669.88,0.3244,0,False,73.91009772727273,Low Risk,72,9.903485340909091
218-10-1118,52609.95,776,87.8143,11.2,0.4155,52.14385170506856,1,2,51550.58,0.0783,113000,True,81.0303503409091,Very Low Risk,84,8.835447448863636
221-10-1121,27722.25,692,50.3151,7.6,0.4181,51.52994727743462,3,0,19431.82,0.1493,64000,True,65.99906829545455,Low Risk,72,11.090139755681818
222-10-1122,172619.16,798,81.0351,8.8,0.1447,50.57372159976319,1,0,117293.75,0.5063,760000,True,84.46442909090908,Very Low Risk,84,8.320335636363637
223-10-1123,125839.61,767,30.1041,9.8,0.3605,40.05680686058531,4,2,91498.55,0.1398,388000,True,71.73350181818182,Low Risk,72,10.229974727272726
226-10-1126,33161.45,761,82.1919,9.7,0.3975,55.316203613927854,3,0,31410.98,0.4011,146000,True,76.88297071969697,Low Risk,72,9.457554392045454
227-10-1127,60254.16,778,70.7458,8.9,0.5666,55.302643800085896,1,2,55155.56,0.094,0,False,74.53893181818182,Low Risk,72,9.809160227272727
229-10-1129,151422.31,714,71.3322,13.1,0.3974,85.0,6,4,108376.41,0.1787,233000,True,73.86389454545454,Low Risk,72,9.910415818181818
230-10-1130,30460.87,763,84.427,21.9,0.4269,60.28692815309037,6,3,24975.18,0.162,52000,True,76.59473928030303,Low Risk,72,9.500789107954546
231-10-1131,18468.35,753,88.4985,18.7,0.4422,56.81601836991766,4,0,10896.61,0.6942,43000,True,73.72148731060607,Low Risk,72,9.93177690340909
232-10-1132,52696.82,788,96.4371,32.2,0.3525,43.00944591113575,2,3,28196.75,0.0593,128000,True,83.6571662878788,Very Low Risk,84,8.441425056818181
235-10-1135,32544.55,767,73.8905,12.0,0.4445,34.96979797878555,3,0,24892.62,0.2579,100000,True,76.60580473484848,Low Risk,72,9.499129289772728
236-10-1136,263366.14,771,57.9072,8.6,0.469,45.59517476340979,2,1,114809.78,0.2319,689000,True,74.80016727272726,Low Risk,72,9.76997490909091
237-10-1137,46082.31,676,52.2673,11.9,0.5436,61.899237326505705,2,2,32775.87,0.1867,0,False,64.27982897727273,Moderate Risk,60,11.348025653409092
238-10-1138,48504.98,772,83.0813,12.6,0.4194,43.4906917051799,1,2,18629.86,0.2708,105000,True,77.67466446969696,Low Risk,72,9.338800329545455
239-10-1139,432965.87,775,80.2775,25.4,0.3214,57.131202182756304,3,1,283738.04,0.2071,1619000,True,83.39077272727273,Very Low Risk,84,8.48138409090909
240-10-1140,47235.01,738,86.3628,6.1,0.359,50.44859103003788,5,5,33288.47,0.4406,45000,True,68.42241268939394,Low Risk,72,10.72663809659091
241-10-1141,29498.09,705,57.5901,9.9,0.3619,44.03081743035688,2,5,13285.95,0.3731,28000,True,64.26033435606061,Moderate Risk,60,11.350949846590908
243-10-1143,73431.46,727,77.5398,8.3,0.4498,51.86185746392381,1,1,25156.21,0.3439,168000,True,72.85433143939395,Low Risk,72,10.061850284090909
244-10-1144,42940.86,751,69.497,30.7,0.3935,42.8460688383085,2,0,29555.74,0.3165,189000,True,75.32110250000001,Low Risk,72,9.691834624999998
245-10-1145,54660.54,701,62.8091,33.0,0.5565,48.88893011872478,6,1,44439.26,0.545,0,False,65.56002431818182,Low Risk,72,11.155996352272727
246-10-1146,58100.55,762,77.9033,14.6,0.6157,55.20723790520563,3,2,43132.41,0.3992,0,False,72.17401625000001,Low Risk,72,10.163897562499999
247-10-1147,542262.93,806,88.509,19.5,0.2062,59.25424233750641,2,3,379017.93,0.4412,1312000,True,84.39680000000001,Very Low Risk,84,8.330479999999998
248-10-1148,98602.51,787,94.3054,28.2,0.4246,45.56843357429353,2,3,80036.69,0.5573,167000,True,79.01842700757575,Low Risk,72,9.137235948863637
250-10-1150,53000.5,765,58.7825,19.0,0.3702,39.1675415899019,2,3,36367.97,0.1648,128000,True,73.35476325757575,Low Risk,72,9.986785511363637
251-10-1151,105042.89,758,56.0629,7.7,0.3953,59.86195148846125,1,3,99264.57,0.2068,254000,True,71.43732162878788,Low Risk,72,10.274401755681819
252-10-1152,127771.28,781,75.5134,4.8,0.4028,75.6214898410965,1,1,76132.42,0.4622,304000,True,73.84777090909091,Low Risk,72,9.912834363636364
253-10-1153,19475.47,757,88.0377,23.0,0.4242,61.21947967574695,3,1,11857.43,0.2534,51000,True,77.60383609848483,Low Risk,72,9.349424585227275
254-10-1154,22203.87,761,82.39,14.0,0.4222,64.08738748624663,4,1,11219.57,0.2964,58000,True,76.44252488636364,Low Risk,72,9.523621267045453
255-10-1155,83197.81,747,60.4896,32.5,0.5368,43.55502281547944,3,0,64033.45,0.2703,0,False,73.25494996212122,Low Risk,72,10.001757505681818
256-10-1156,38314.4,743,89.5325,10.7,0.4655,54.548474376815,1,3,30992.35,0.5299,57000,True,72.41234242424242,Low Risk,72,10.128148636363637
258-10-1158,68251.54,779,79.5042,21.9,0.477,27.589531830778352,2,1,40440.73,0.2854,179000,True,78.21747234848483,Low Risk,72,9.257379147727274
259-10-1159,104144.34,801,99.3296,31.2,0.3743,40.975891019699006,3,2,94863.59,0.2727,321000,True,85.74558568181818,Very Low Risk,84,8.128162147727272
260-10-1160,50652.77,743,69.5594,7.8,0.4726,68.80705548803863,3,0,32928.19,0.4691,137000,True,70.23332117424243,Low Risk,72,10.455001823863636
261-10-1161,18000.0,752,88.7273,9.0,0.5541,37.93332476493549,1,4,14615.49,0.1072,0,False,72.87559636363636,Low Risk,72,10.058660545454547
262-10-1162,41357.06,775,66.2009,27.7,0.361,66.30066019688903,7,1,26557.78,0.1578,155000,True,77.19766356060607,Low Risk,72,9.410350465909088
263-10-1163,26574.74,721,67.8233,37.5,0.4354,37.892469636565565,2,2,19368.26,0.3164,50000,True,69.76784992424243,Low Risk,72,10.524822511363636
264-10-1164,88717.05,757,91.9392,19.0,0.54,41.314409630851,2,2,48584.23,0.2326,0,False,78.74020193181819,Low Risk,72,9.178969710227271
266-10-1166,73243.38,761,90.363,26.5,0.4881,50.6888018662991,3,4,57214.82,0.3395,90000,True,75.74427113636364,Low Risk,72,9.628359329545454
268-10-1168,105778.29,762,83.6311,10.4,0.5032,68.19090410885323,1,1,90011.94,0.2883,0,False,79.10264875,Low Risk,72,9.1246026875
269-10-1169,153834.46,788,63.6965,11.2,0.4493,39.33959928367767,3,1,68913.16,0.5874,403000,True,75.18034545454546,Low Risk,72,9.71294818181818
270-10-1170,39842.97,761,86.9399,20.5,0.4802,48.53573561339128,0,0,12991.02,0.134,123000,True,79.84146738636363,Low Risk,72,9.013779892045456
271-10-1171,57696.03,764,78.0055,15.0,0.4516,56.117352506458616,5,0,31404.95,0.4734,178000,True,76.02437397727272,Low Risk,72,9.586343903409093
275-10-1175,43237.16,742,72.6717,23.6,0.4789,59.06705384087276,5,3,20983.54,0.3357,64000,True,70.92266106060606,Low Risk,72,10.351600840909091
276-10-1176,144274.74,764,86.7302,14.8,0.4987,59.64829062575071,2,1,108125.03,0.0773,378000,True,82.61981272727273,Very Low Risk,84,8.59702809090909
277-10-1177,66062.29,731,77.9684,11.3,0.4109,53.10632834664717,3,2,24990.08,0.2446,125000,True,75.1640481439394,Low Risk,72,9.71539277840909
278-10-1178,43201.11,715,85.3704,6.5,0.5001,42.54539161089623,4,0,27897.47,0.2946,0,False,71.3357171590909,Low Risk,72,10.289642426136364
279-10-1179,121907.08,787,82.4245,12.7,0.5125,44.81919157552504,1,1,103030.52,0.4811,0,False,78.9773090909091,Low Risk,72,9.143403636363635
280-10-1180,88206.54,786,84.0234,29.1,0.4279,49.79564360588109,3,0,57130.71,0.0961,272000,True,84.02772522727273,Very Low Risk,84,8.38584121590909
281-10-1181,34756.88,773,94.2342,21.6,0.4548,51.16338954938202,4,3,27047.89,0.3374,59000,True,77.19904333333334,Low Risk,72,9.4101435
282-10-1182,52423.94,725,71.3378,18.5,0.5671,55.66532428814792,2,0,24952.47,0.6514,0,False,68.47684537878787,Low Risk,72,10.718473193181818
284-10-1184,66195.65,786,72.2776,11.1,0.3445,58.78783975685801,1,0,19873.52,0.1721,291000,True,81.25244481060605,Very Low Risk,84,8.802133278409093
286-10-1186,18000.0,755,83.8795,22.6,0.3891,64.5709951637902,1,1,8434.09,0.2963,67000,True,76.68094545454545,Low Risk,72,9.487858181818183
287-10-1187,29315.69,687,66.4318,21.8,0.4968,50.20623625515584,0,2,21248.65,0.6119,36000,True,63.564119810606066,Moderate Risk,60,11.45538202840909
289-10-1189,47340.4,716,66.0611,9.6,0.5167,48.74172591705103,0,1,40039.32,0.7663,0,False,64.84396393939394,Moderate Risk,60,11.263405409090907
290-10-1190,191204.37,777,70.5402,22.7,0.4377,42.63395632611055,1,1,150430.87,0.3855,501000,True,78.04208545454546,Low Risk,72,9.28368718181818
291-10-1191,24525.24,717,92.6912,11.1,0.3985,75.19086077514207,0,3,19827.81,0.4842,52000,True,72.27698863636363,Low Risk,72,10.148451704545456
292-10-1192,41263.94,754,76.1675,22.8,0.376,62.741187357814425,7,0,28021.54,0.2325,182000,True,77.87873992424242,Low Risk,72,9.308189011363636
293-10-1193,69728.12,797,95.2626,12.8,0.3691,58.40028807442099,2,3,52224.55,0.1549,169000,True,83.49963106060605,Very Low Risk,84,8.465055340909093
294-10-1194,47905.59,746,53.7456,31.7,0.4103,49.88015654307266,4,3,39343.56,0.1582,71000,True,70.39050443181817,Low Risk,72,10.431424335227273
295-10-1195,145192.49,758,66.0156,12.1,0.4635,41.98922909514283,3,2,96815.93,0.2991,313000,True,75.40507454545455,Low Risk,72,9.679238818181817
296-10-1196,55113.79,741,95.8957,11.9,0.4195,60.53658564904143,2,1,39303.13,0.4241,126000,True,78.00568428030303,Low Risk,72,9.289147357954546
297-10-1197,98563.93,768,53.6358,14.1,0.4514,48.58065548898509,5,1,59528.0,0.6694,194000,True,70.15080859848484,Low Risk,72,10.467378710227273
298-10-1198,27877.8,764,96.5893,9.7,0.4081,54.21879322719052,4,3,24397.32,0.1976,47000,True,78.60920772727273,Low Risk,72,9.19861884090909
299-10-1199,72047.33,752,63.1213,8.8,0.3518,44.788340749249485,2,0,59635.56,0.3773,317000,True,74.13986844696969,Low Risk,72,9.869019732954547
300-10-1200,48067.0,702,75.7424,9.5,0.6744,52.46068114174897,2,1,26998.39,0.5232,0,False,65.88508984848485,Low Risk,72,11.107236522727273
301-10-1201,29702.31,718,79.8029,27.2,0.3629,45.285550733521774,3,2,22722.47,0.5422,80000,True,70.93267625,Low Risk,72,10.350098562500001
302-10-1202,82999.43,773,91.5915,9.1,0.407,45.60310750200695,2,3,79279.35,0.0488,141000,True,81.38360958333332,Very Low Risk,84,8.7824585625
304-10-1204,39470.89,754,93.5525,39.2,0.5506,37.80537149635515,3,1,34744.65,0.1654,0,False,78.33302950757576,Low Risk,72,9.240045573863636
305-10-1205,80494.5,774,73.9965,23.1,0.4793,38.09582814582024,2,1,77666.85,0.0895,211000,True,79.23237386363637,Low Risk,72,9.105143920454545
306-10-1206,51504.94,732,77.376,22.9,0.5069,43.46425907827215,2,4,46613.39,0.4684,0,False,68.82464825757575,Low Risk,72,10.666302761363639
307-10-1207,64538.22,756,99.0881,36.3,0.4964,47.95388241448464,0,1,53021.9,0.6694,127000,True,76.38489431818182,Low Risk,72,9.532265852272726
308-10-1208,107785.98,800,98.8281,13.9,0.4276,59.16035670988797,2,1,57501.41,0.2662,282000,True,85.99888431818182,Very Low Risk,84,8.090167352272726
309-10-1209,164267.07,745,79.2536,5.0,0.4564,48.458369990678655,3,0,107120.59,0.1195,402000,True,76.12790181818181,Low Risk,72,9.570814727272728
