tax_id,annual_income,savings_balance,payment_history,age,avg_monthly_transactions,avg_transaction_value,digital_banking_score,mobile_banking_usage,online_transactions_ratio,e_statement_enrolled,checking_balance,digital_activity_score,monthly_digital_transactions,customer_category
120-10-1020,37750.34,2250.4,61.232,58.754774544510106,61.9,41.6,65.5749,60.3261,0.8253,1,23137.27,69.09,51.1,Regular
121-10-1021,34845.1,3399.5,81.4254,39.46677857478535,108.4,50.69,91.2431,75.7937,0.5197,1,5255.34,74.83,56.3,Preferred
122-10-1022,72160.59,17460.11,82.0168,38.6708544711718,71.1,103.7,69.7126,66.3183,0.8537,1,983.37,73.39,60.7,Preferred
123-10-1023,61254.76,14823.83,94.8284,51.96785220986399,48.3,36.63,53.2677,93.3411,0.7115,1,2293.95,70.65,34.4,Regular
124-10-1024,27299.92,6009.3,88.2624,57.79449861841955,67.0,92.91,81.7315,89.0262,0.7246,0,1658.53,81.14,48.5,Regular
125-10-1025,26379.31,5229.52,93.7092,51.70859768794972,42.2,100.23,97.3,87.7594,0.7161,1,4075.56,86.73,30.2,Preferred
126-10-1026,82727.19,4189.48,86.7718,48.88020477810443,68.1,35.47,84.7741,41.1489,0.551,1,3188.58,62.78,37.5,Preferred
127-10-1027,27886.9,27085.55,68.5121,47.13953304596872,76.0,39.17,45.2422,39.8226,0.9,1,21965.04,57.04,68.4,Regular
128-10-1028,36814.82,2697.18,86.7002,45.69554304669106,29.2,47.63,42.3301,60.7149,0.7436,1,2249.93,57.45,21.7,Regular
129-10-1029,114278.03,1532.89,89.0763,61.51533766912476,51.0,56.19,57.3297,91.4608,0.7089,1,2609.11,71.64,36.2,Preferred
130-10-1030,67552.51,56139.47,68.339,53.28154987379627,24.8,58.35,68.0005,40.3701,0.4814,1,698.22,53.75,11.9,Preferred
131-10-1031,176900.05,2351.15,72.4064,46.373325287636526,48.4,40.7,80.621,67.2275,0.7541,1,3283.24,75.04,36.5,Preferred
132-10-1032,55554.1,31251.02,71.4393,43.815216820026826,61.3,33.9,41.8768,75.2399,0.6913,1,2863.9,60.06,42.4,Regular
136-10-1036,33258.37,1767.78,83.3308,42.46155928891931,70.8,87.71,57.6461,72.2741,0.7758,0,5932.17,68.01,54.9,Regular
137-10-1037,37982.62,10967.41,68.7854,47.064956316558025,82.4,75.49,70.2745,79.0629,0.7709,1,12252.45,74.96,63.5,Regular
138-10-1038,195677.89,6720.32,78.0175,45.53093539603251,10.1,58.24,97.5881,57.2425,0.2735,1,4664.93,64.41,2.8,Preferred
139-10-1039,36801.43,17935.82,68.3166,48.21517250332088,62.1,17.78,38.268,62.2337,0.7822,1,1844.38,57.44,48.6,Regular
140-10-1040,51423.42,7265.42,72.8397,58.63954253726328,33.6,42.03,68.3142,43.3025,0.6983,1,3589.79,61.27,23.5,Regular
141-10-1041,37683.74,11224.55,95.3515,65.21264089666144,50.4,48.39,64.9314,80.641,0.8524,1,5430.31,75.74,43.0,Regular
142-10-1042,131540.03,26609.44,78.6111,53.67568455846205,74.4,65.17,66.075,36.738,0.7798,1,3529.58,60.85,58.0,Preferred
144-10-1044,149529.5,8338.91,69.6281,49.65025987941067,63.6,46.3,50.4662,79.2974,0.6237,1,5719.05,62.69,39.7,Preferred
145-10-1045,71061.75,2018.92,51.559,67.90873762878103,55.3,60.46,82.5578,45.457,0.4463,1,4851.21,60.05,24.7,Regular
146-10-1046,68221.83,3125.73,74.0369,50.86048323435111,53.0,41.64,64.8332,80.2994,0.6813,1,3800.96,70.46,36.1,Regular
147-10-1047,57510.49,6440.61,90.2673,47.15883417297872,57.6,58.45,55.0415,54.136,0.3381,1,24105.92,48.4,19.5,Regular
148-10-1048,143709.58,2162.77,63.1005,47.89555896024026,75.4,137.2,40.0681,75.7769,0.8454,1,1012.97,64.12,63.7,Preferred
149-10-1049,51355.94,2283.5,74.7742,53.62805309462083,25.5,106.5,82.6354,63.688,0.4488,1,1708.14,65.62,11.4,Regular
151-10-1051,86189.62,33019.23,79.0774,45.33126762830442,32.0,110.57,79.6898,74.7249,0.8425,1,1998.94,79.57,27.0,Preferred
154-10-1054,113355.14,6483.99,83.2412,50.960617020413984,32.7,45.48,75.9482,72.1259,0.6318,1,4544.6,70.97,20.7,Preferred
156-10-1056,163390.61,12980.32,79.1589,43.602419062766096,84.7,24.12,61.2709,54.1707,0.6862,1,771.47,61.35,58.1,Preferred
157-10-1057,21685.46,106195.76,76.8109,46.895745412550255,32.1,232.2,42.4437,61.7055,0.416,1,1216.75,47.97,13.4,Preferred
158-10-1058,88676.03,11933.17,78.1777,52.98994492370314,43.5,19.82,50.4423,86.886,0.6303,1,2625.7,65.15,27.4,Regular
159-10-1059,64308.53,9497.29,98.9933,52.62656395914351,67.0,9.43,69.3521,53.0093,0.7855,1,4600.97,67.21,52.6,Regular
160-10-1060,51929.04,2141.12,65.4549,38.0390684313932,19.0,48.02,66.8721,57.7757,0.6972,1,5652.92,65.0,13.2,Regular
161-10-1061,49184.27,4211.39,75.834,46.05294471267534,39.3,107.58,73.4953,68.1931,0.6599,1,763.01,69.65,25.9,Regular
163-10-1063,18000.0,23382.3,60.7007,54.12437495881707,36.2,45.59,85.5077,74.4344,0.4468,1,5837.78,69.94,16.2,Regular
164-10-1064,83345.57,2608.58,84.4605,52.59038157063266,44.6,52.66,67.6133,49.2757,0.5177,1,4059.76,57.36,23.1,Regular
165-10-1065,21997.71,3913.51,81.0519,49.27611012940503,67.7,92.76,93.0639,71.6437,0.8369,1,1646.9,83.83,56.7,Preferred
166-10-1066,50452.03,1966.54,71.3679,34.64130871862922,19.4,56.62,75.2795,28.7611,0.7014,1,2431.2,59.78,13.6,Regular
168-10-1068,185633.61,13643.44,90.0015,50.593768237393135,85.4,98.23,87.0782,55.2701,0.697,1,4227.71,72.32,59.5,VIP
170-10-1070,62196.08,5549.25,91.4707,48.15201574490429,33.0,28.02,72.326,75.7009,0.8956,0,813.33,78.51,29.6,Regular
171-10-1071,25332.38,5212.51,69.9421,53.04641213304299,51.9,36.32,41.1204,53.1189,0.4834,1,429.42,46.89,25.1,Regular
172-10-1072,85312.45,3023.06,83.837,62.55415352933584,90.9,62.56,64.1201,75.6275,0.7915,1,5727.98,72.08,71.9,Preferred
174-10-1074,18000.0,52614.31,68.7063,65.80626585307043,38.5,48.78,39.2353,45.8221,0.8483,1,12210.07,54.89,32.7,Regular
175-10-1075,20821.73,5551.29,61.0385,38.13618365013527,37.0,36.37,61.4471,86.3227,0.7846,0,202.18,74.01,29.0,Regular
176-10-1076,49085.89,3480.82,75.5016,41.24286401779548,50.0,80.48,82.8172,83.0035,0.8866,1,3629.45,84.63,44.3,Preferred
177-10-1077,50833.59,2621.32,87.4249,44.76595277614844,20.5,122.65,80.8224,83.4703,0.6365,1,2406.12,76.47,13.0,Regular
178-10-1078,132495.02,2208.22,66.6632,37.08436885492745,115.3,324.35,61.6256,44.1057,0.713,0,3152.37,59.27,82.2,Preferred
179-10-1079,173774.12,2876.55,85.9045,50.67648906068963,16.3,49.36,86.495,85.2545,0.6321,1,1455.11,79.14,10.3,Preferred
181-10-1081,133988.59,5284.76,58.9902,67.71516308490693,80.7,48.61,81.3581,66.3303,0.3609,1,10840.11,63.27,29.1,Preferred
182-10-1082,255966.08,10354.28,83.6233,42.92285465523361,132.2,50.65,71.1966,37.6952,0.9564,1,2050.69,68.48,126.4,Preferred
183-10-1083,82351.58,2634.28,85.1798,46.94704162393271,33.9,67.46,97.9538,88.3348,0.8355,1,2005.38,90.75,28.3,Preferred
184-10-1084,83196.22,42576.53,70.0902,58.650935118377824,60.6,110.39,63.9164,53.4682,0.4799,1,1614.07,56.0,29.1,Preferred
185-10-1085,215113.33,12854.15,92.8956,39.39162736040571,72.8,64.01,98.1406,39.7048,0.7396,0,5017.52,73.36,53.8,Preferred
186-10-1086,27445.54,7241.56,84.8517,36.69263445040831,19.4,56.18,55.3051,75.0159,0.4304,0,8235.6,57.54,8.3,Regular
187-10-1087,115598.78,9286.68,71.7865,51.843338762124986,76.2,144.09,76.435,47.973,0.8177,1,10639.74,69.5,62.3,Preferred
189-10-1089,152242.91,22034.4,73.4892,58.28777346525988,90.1,129.78,61.6028,87.7721,0.9454,0,2624.69,79.33,85.2,Preferred
190-10-1090,136933.68,10111.47,85.5837,55.39122240729929,74.6,28.44,56.5436,63.6401,0.5435,1,2582.54,58.01,40.5,Preferred
191-10-1091,53367.77,15711.61,65.4667,52.99893467809582,53.5,45.31,75.4939,69.4037,0.5531,1,4994.66,67.61,29.6,Regular
192-10-1092,25761.98,32049.34,91.9283,43.78888093996335,64.3,62.66,36.7091,71.4699,0.794,0,3580.25,59.94,51.1,Regular
193-10-1093,153994.89,3330.11,81.2248,52.32998019278649,28.5,87.11,98.1964,70.5107,0.8052,1,3495.3,84.59,22.9,Preferred
194-10-1094,42993.64,3011.3,56.9,52.958259926908255,55.7,77.66,64.4034,61.5332,0.9166,1,14395.08,71.72,51.1,Regular
195-10-1095,65169.99,3652.39,98.7517,43.49871043101244,31.1,52.6,44.9941,71.862,0.7213,0,3160.07,61.2,22.4,Regular
196-10-1096,27357.88,15094.91,89.2878,71.98286016433946,84.4,61.03,53.4439,45.7572,0.694,0,2074.83,55.92,58.6,Regular
197-10-1097,46517.22,3698.08,72.5941,54.87073240720207,106.8,65.98,79.229,87.0705,0.7348,1,3170.11,79.86,78.5,Preferred
198-10-1098,121956.3,24729.93,93.4583,41.36861182234578,39.0,122.06,80.5611,63.1134,0.544,1,1884.99,67.48,21.2,VIP
199-10-1099,78402.84,1309.08,77.3244,58.34791333778128,29.1,45.12,79.437,49.6088,0.8417,1,2006.64,71.91,24.5,Regular
200-10-1100,35387.01,23132.49,67.843,60.39763136265435,77.2,38.7,83.1993,69.0037,0.9134,1,1290.53,81.38,70.5,Preferred
201-10-1101,18000.0,6200.81,73.1552,54.21719145556058,47.5,30.61,93.0337,71.691,0.4653,1,6635.52,72.68,22.1,Regular
202-10-1102,96928.96,17626.47,86.7974,47.655409940868864,94.4,59.15,62.081,73.872,0.7782,0,11194.18,70.34,73.5,Preferred
203-10-1103,44771.22,4627.71,62.2415,43.168474149901925,60.0,25.17,85.1738,78.2921,0.794,1,7321.28,81.38,47.6,Regular
205-10-1105,54403.95,2971.97,97.5774,53.46032850886324,34.2,28.03,70.6292,36.5171,0.3885,1,1275.53,50.86,13.3,Regular
206-10-1106,44455.15,19414.13,69.3555,50.127561127135344,65.5,72.65,67.1801,75.7148,0.7384,1,353.32,71.74,48.4,Preferred
207-10-1107,92405.32,15118.98,77.05,66.45890510489141,10.8,28.42,79.3612,70.5519,0.6118,0,8278.12,71.26,6.6,Regular
208-10-1108,32602.26,17348.22,45.9506,56.53005510000808,92.4,244.09,21.727,57.7679,0.5774,1,3160.16,43.34,53.4,Regular
209-10-1109,66484.74,27567.67,69.4063,42.31489929618615,51.1,35.01,63.5881,54.7966,0.5411,1,1982.82,58.11,27.7,Regular
210-10-1110,80041.39,116547.66,66.7584,40.61246879851404,54.5,41.01,70.3393,41.2738,0.1845,1,9925.82,46.05,10.1,Preferred
211-10-1111,153778.58,6966.84,58.124,54.96384541604783,38.6,54.79,89.5906,48.0942,0.3724,1,833.28,61.44,14.4,Preferred
214-10-1114,96024.79,20771.94,96.7092,54.86432230654913,68.5,47.57,65.4972,57.4231,0.7786,0,9119.39,66.78,53.3,Preferred
217-10-1117,42196.44,1768.05,82.7432,37.33408795655564,16.1,26.02,73.376,81.0528,0.8616,0,2697.62,79.51,13.9,Regular
219-10-1119,147999.25,1204.97,60.1197,39.28039823186812,86.5,49.97,70.7669,91.4645,0.3013,1,3724.46,64.79,26.1,Preferred
222-10-1122,172619.16,9947.76,81.0351,50.57372159976319,46.6,56.07,63.7281,58.3666,0.7341,0,7758.87,65.02,34.2,Preferred
223-10-1123,125839.61,18285.69,30.1041,40.05680686058531,65.4,49.37,57.0618,41.0115,0.9543,1,8142.73,63.76,62.4,Preferred
224-10-1124,80146.84,5669.19,63.7288,61.82791217519703,36.4,42.73,58.5454,37.1625,0.5902,0,4734.32,52.27,21.5,Regular
225-10-1125,18000.0,18684.82,72.7816,61.47542060763904,43.6,43.72,56.1638,89.7,0.4774,1,2092.69,63.7,20.8,Regular
228-10-1128,190765.14,15055.99,72.3925,55.31633842466687,69.9,85.8,62.2966,59.1779,0.6942,1,10772.42,63.5,48.5,Preferred
229-10-1129,151422.31,1786.42,71.3322,85.0,32.4,33.39,88.5909,88.8947,0.8659,1,2592.84,88.08,28.1,Preferred
230-10-1130,30460.87,16782.5,84.427,60.28692815309037,40.5,126.6,88.798,72.9621,0.5647,1,5555.88,74.35,22.9,Preferred
231-10-1131,18468.35,12216.81,88.4985,56.81601836991766,90.3,31.03,80.4721,42.175,0.5314,1,479.27,60.78,48.0,Regular
232-10-1132,52696.82,10722.32,96.4371,43.00944591113575,93.7,76.48,82.0215,92.6847,0.5777,1,3001.53,77.95,54.1,Preferred
233-10-1133,66056.63,14840.85,85.4419,47.73529221390078,28.3,37.48,86.1072,55.4798,0.6413,1,5164.02,70.33,18.1,Regular
235-10-1135,32544.55,35499.61,73.8905,34.96979797878555,62.5,30.68,50.4708,29.8567,0.7452,1,9144.45,51.5,46.6,Regular
236-10-1136,263366.14,6835.29,57.9072,45.59517476340979,34.1,29.56,65.8513,51.5097,0.7295,1,4134.82,63.68,24.9,Regular
237-10-1137,46082.31,13069.68,52.2673,61.899237326505705,51.0,47.06,70.4093,37.9656,0.761,1,5141.64,62.38,38.8,Regular
238-10-1138,48504.98,4540.07,83.0813,43.4906917051799,36.9,51.59,92.5361,83.7962,0.8431,0,34074.54,87.45,31.1,Regular
241-10-1141,29498.09,3449.58,57.5901,44.03081743035688,35.7,29.11,77.765,59.7672,0.8496,0,2453.31,74.52,30.3,Regular
242-10-1142,36445.7,18838.24,76.794,33.97637899880225,42.6,26.34,78.1851,43.3711,0.9352,1,2516.96,72.34,39.8,Regular
243-10-1143,73431.46,2646.89,77.5398,51.86185746392381,18.0,121.07,66.3691,84.6632,0.7515,1,1622.24,74.49,13.5,Regular
244-10-1144,42940.86,4686.6,69.497,42.8460688383085,9.3,81.7,73.3351,45.8892,0.8718,0,826.98,69.25,8.1,Regular
245-10-1145,54660.54,8058.79,62.8091,48.88893011872478,42.1,34.99,66.294,35.4709,0.9349,1,1533.94,65.21,39.4,Regular
246-10-1146,58100.55,12740.45,77.9033,55.20723790520563,38.1,65.47,52.1992,62.0322,0.8784,0,2919.11,65.84,33.5,Regular
247-10-1147,542262.93,9135.88,88.509,59.25424233750641,88.0,92.53,80.9591,30.3962,0.3746,0,3017.84,52.74,33.0,VIP
248-10-1148,98602.51,26423.6,94.3054,45.56843357429353,89.8,66.46,92.5484,43.3015,0.8407,1,14495.2,75.23,75.5,Preferred
249-10-1149,30768.95,10177.05,84.3277,44.0160588413588,42.7,116.26,49.2825,80.4188,0.5207,1,622.94,59.46,22.2,Regular
251-10-1151,105042.89,6211.26,56.0629,59.86195148846125,82.6,29.02,54.9219,59.6451,0.8951,1,8356.09,66.72,73.9,Regular
252-10-1152,127771.28,19979.59,75.5134,75.6214898410965,49.0,81.29,60.1721,56.2691,0.614,1,2540.96,59.37,30.1,Preferred
253-10-1153,19475.47,6417.3,88.0377,61.21947967574695,52.9,74.19,76.4972,44.1513,0.8204,1,2820.88,68.46,43.4,Regular
255-10-1155,83197.81,1596.57,60.4896,43.55502281547944,117.7,49.83,88.518,71.3955,0.7259,1,2290.37,78.6,85.4,Preferred
256-10-1156,38314.4,5682.12,89.5325,54.548474376815,37.2,39.92,65.5663,64.8974,0.4834,1,17248.05,60.2,18.0,Regular
257-10-1157,34726.33,14464.69,77.4664,58.20570426759118,83.9,43.23,71.2111,94.3416,0.5883,1,2202.51,74.44,49.4,Preferred
258-10-1158,68251.54,25465.51,79.5042,27.589531830778352,87.9,67.04,62.3977,59.4843,0.9245,1,5973.18,70.54,81.3,Preferred
259-10-1159,104144.34,12755.18,99.3296,40.975891019699006,48.5,39.34,90.4317,70.6011,0.6393,1,5793.06,76.53,31.0,Preferred
260-10-1160,50652.77,13104.93,69.5594,68.80705548803863,27.6,67.95,63.1945,65.254,0.5467,1,8383.11,61.26,15.1,Regular
261-10-1161,18000.0,13302.6,88.7273,37.93332476493549,21.6,75.68,82.5624,76.0672,0.6079,1,279.5,74.08,13.1,Regular
262-10-1162,41357.06,32118.68,66.2009,66.30066019688903,54.1,116.56,83.6115,70.7619,0.9431,1,1926.49,82.97,51.0,Preferred
263-10-1163,26574.74,12925.9,67.8233,37.892469636565565,58.8,58.45,87.6478,73.759,0.7395,0,557.62,79.37,43.5,Regular
264-10-1164,88717.05,8021.88,91.9392,41.314409630851,39.3,17.91,73.6874,38.4627,0.5984,0,4039.46,58.97,23.5,Regular
266-10-1166,73243.38,14572.36,90.363,50.6888018662991,22.2,39.19,80.2766,43.514,0.4125,1,10954.6,57.54,9.2,Regular
267-10-1167,81528.62,19015.27,84.5602,46.3712335608413,28.8,55.65,61.4317,55.419,0.5214,0,4283.83,56.84,15.0,Regular
268-10-1168,105778.29,3512.93,83.6311,68.19090410885323,21.2,32.78,71.8057,63.5757,0.5719,0,7879.9,64.95,12.1,Regular
269-10-1169,153834.46,20793.56,63.6965,39.33959928367767,53.9,36.57,85.6934,45.1185,0.3551,1,3901.28,58.47,19.1,Preferred
270-10-1170,39842.97,15689.66,86.9399,48.53573561339128,122.3,42.97,67.5931,74.5932,0.7677,1,1524.63,72.45,93.9,Preferred
271-10-1171,57696.03,24425.91,78.0055,56.117352506458616,37.4,28.81,57.4917,83.9559,0.5561,1,2463.34,64.87,20.8,Regular
272-10-1172,116299.58,12112.93,83.9961,52.83285800797154,44.1,42.12,66.8063,33.6416,0.5792,0,921.08,54.19,25.5,Preferred
273-10-1173,30971.16,21817.98,79.5827,44.278355891073865,29.3,72.92,72.9325,38.543,0.7177,1,2210.07,62.27,21.0,Regular
274-10-1174,20820.14,18578.12,69.2763,44.56581451818859,42.0,50.22,84.1384,55.3293,0.3883,0,15652.53,61.9,16.3,Regular
275-10-1175,43237.16,8765.14,72.6717,59.06705384087276,55.2,84.75,68.3888,43.7428,0.7306,1,7400.71,62.4,40.3,Regular
276-10-1176,144274.74,3037.8,86.7302,59.64829062575071,44.7,41.35,70.4283,97.5077,0.6511,0,5906.64,76.96,29.1,Preferred
277-10-1177,66062.29,1726.98,77.9684,53.10632834664717,35.5,144.08,74.2856,49.3352,0.8923,1,2845.84,71.28,31.7,Preferred
279-10-1179,121907.08,8726.44,82.4245,44.81919157552504,35.7,9.45,63.0269,32.1195,0.4417,1,1125.19,48.1,15.8,Regular
280-10-1180,88206.54,3110.54,84.0234,49.79564360588109,21.0,39.96,52.6891,56.1639,0.7511,1,3293.12,60.46,15.8,Regular
281-10-1181,34756.88,7152.08,94.2342,51.16338954938202,36.7,96.34,63.7091,58.0162,0.6239,1,9425.04,61.61,22.9,Regular
284-10-1184,66195.65,9415.34,72.2776,58.78783975685801,88.5,29.93,34.9466,77.6472,0.9155,1,2581.39,64.74,81.0,Regular
285-10-1185,93473.72,11722.86,51.9573,58.65084798925978,66.6,37.37,82.2785,76.2691,0.8624,1,4555.86,81.66,57.4,Regular
287-10-1187,29315.69,16920.99,66.4318,50.20623625515584,42.6,96.38,76.729,39.1733,0.6851,0,595.25,63.0,29.2,Regular
288-10-1188,193884.33,4190.51,92.1613,53.28241134817488,35.3,36.69,83.2849,29.1175,0.9146,1,2155.64,69.49,32.3,Preferred
289-10-1189,47340.4,20829.16,66.0611,48.74172591705103,75.5,35.69,58.8562,82.5295,0.6703,1,6057.59,68.41,50.6,Regular
290-10-1190,191204.37,1402.82,70.5402,42.63395632611055,102.0,68.89,78.2621,71.1628,0.9029,0,3417.07,79.74,92.1,Preferred
293-10-1193,69728.12,11545.67,95.2626,58.40028807442099,43.5,213.55,82.5711,87.4027,0.6391,1,13936.01,78.42,27.8,Preferred
294-10-1194,47905.59,8725.16,53.7456,49.88015654307266,28.2,51.12,63.6049,56.3912,0.5808,1,18395.19,59.78,16.4,Regular
295-10-1195,145192.49,11328.61,66.0156,41.98922909514283,72.0,94.3,81.0997,45.823,0.7495,1,2019.82,68.67,54.0,Preferred
296-10-1196,55113.79,18488.48,95.8957,60.53658564904143,44.6,106.54,82.2828,75.8556,0.5515,1,1968.25,72.21,24.6,Preferred
299-10-1199,72047.33,6010.8,63.1213,44.788340749249485,56.8,50.37,82.3019,53.0256,0.6965,1,2421.19,69.72,39.6,Regular
300-10-1200,48067.0,6595.34,75.7424,52.46068114174897,106.8,65.7,65.6978,85.6117,0.8483,1,1893.22,77.41,90.6,Regular
301-10-1201,29702.31,1620.03,79.8029,45.285550733521774,78.5,36.57,51.5192,75.4785,0.6318,1,2903.09,62.21,49.6,Regular
302-10-1202,82999.43,25492.86,91.5915,45.60310750200695,79.0,86.02,78.2379,80.3294,0.7423,1,3676.56,77.66,58.6,Preferred
304-10-1204,39470.89,694.89,93.5525,37.80537149635515,104.5,32.03,20.7099,56.159,0.7623,1,2866.41,48.0,79.7,Regular
305-10-1205,80494.5,52988.54,73.9965,38.09582814582024,43.2,15.11,87.7447,58.1594,0.7527,1,1236.72,75.13,32.5,Preferred
306-10-1206,51504.94,2469.97,77.376,43.46425907827215,28.5,52.71,90.5134,51.7574,0.1969,0,10824.72,57.64,5.6,Regular
307-10-1207,64538.22,22805.7,99.0881,47.95388241448464,43.7,26.94,81.0355,84.3718,0.2793,1,1344.16,66.1,12.2,Preferred
308-10-1208,107785.98,2301.57,98.8281,59.16035670988797,40.0,23.41,85.9493,67.8212,0.6227,1,2996.71,73.41,24.9,Preferred
309-10-1209,164267.07,2923.21,79.2536,48.458369990678655,28.5,40.05,86.7556,77.2906,0.7413,1,15079.01,80.13,21.1,Preferred
310-10-1210,142816.25,1333.6,88.4565,49.818951573458406,71.1,63.46,81.111,88.3687,0.3226,1,9286.73,68.63,22.9,Preferred
311-10-1211,35429.34,33993.31,78.115,47.25424003868487,52.0,64.8,98.8364,92.4727,0.7212,1,15808.52,88.91,37.5,Preferred
312-10-1212,23365.12,1835.24,78.1644,53.26727392675818,28.7,39.42,87.6189,78.2699,0.7773,1,1760.97,81.85,22.3,Regular
313-10-1213,18000.0,3284.37,56.7462,42.55987764571839,33.7,25.34,81.6636,71.6358,0.7764,1,1920.3,77.45,26.2,Regular
314-10-1214,93257.12,2884.32,69.5381,48.94615753004082,101.0,72.17,77.2767,73.6563,0.9042,1,3549.98,80.13,91.3,Preferred
315-10-1215,41423.1,22333.9,74.1252,54.09953267532788,84.4,39.45,34.7482,87.7846,0.8106,1,7039.52,64.55,68.4,Regular
316-10-1216,125947.91,17332.05,41.6999,52.24624922969228,60.2,107.1,93.4626,60.5407,0.8669,1,5248.54,81.55,52.2,Preferred
317-10-1217,29019.85,5490.09,77.5427,50.12353846269665,54.5,38.58,75.3529,56.2162,0.6638,1,634.75,66.92,36.2,Regular
318-10-1218,81825.2,34814.24,51.6888,50.24075093134273,67.6,46.75,84.3361,54.537,0.7807,0,3064.27,73.52,52.8,Preferred
320-10-1220,85241.47,6663.13,69.8774,76.07260210451687,51.2,128.41,71.7284,66.9726,0.792,1,2182.38,72.54,40.6,Preferred
321-10-1221,78740.24,24335.59,85.6542,43.05501073003863,49.5,51.51,53.3328,77.7451,0.861,1,8619.17,70.49,42.6,Regular
322-10-1222,27731.63,12402.36,89.6523,76.60807465709567,26.1,198.52,60.5138,74.5478,0.6886,1,1613.19,67.23,18.0,Preferred
323-10-1223,68498.65,7725.52,84.0933,42.71570640434359,69.2,46.02,76.6945,90.7764,0.4121,1,2668.38,70.27,28.5,Preferred
324-10-1224,254878.12,20798.15,49.1564,33.3751460998554,29.6,58.43,74.2908,83.6541,0.6634,1,9897.03,74.71,19.6,Preferred
325-10-1225,96917.27,8006.54,75.8541,45.120148041275534,74.6,22.53,76.8648,46.5336,0.4661,1,9497.32,58.69,34.8,Regular
327-10-1227,66652.65,6517.2,74.945,72.12733978069457,61.3,55.84,57.0781,81.4431,0.7952,1,2689.14,71.12,48.7,Regular
329-10-1229,42901.92,27826.42,59.3692,55.06583804502686,76.7,24.52,72.5193,60.0343,0.7838,1,4973.0,70.53,60.1,Regular
330-10-1230,71140.0,13363.77,60.1526,38.729136946640295,48.6,100.17,55.9777,59.8543,0.4231,1,526.66,53.04,20.6,Regular
331-10-1231,30233.74,1836.57,85.5144,71.5077934153463,33.0,79.68,84.1874,49.7292,0.8897,1,16483.97,75.28,29.4,Regular
332-10-1232,112858.19,3030.46,96.5408,63.00300246647953,14.1,45.58,66.3193,94.6533,0.8213,1,3124.49,79.56,11.6,Regular
333-10-1233,34067.53,6182.93,79.6557,45.61964842553,32.6,16.03,74.6629,91.2879,0.3613,1,1058.71,68.09,11.8,Regular
334-10-1234,192211.75,8785.05,60.4889,35.97856027021781,81.9,106.53,90.4363,61.4144,0.8212,0,854.08,79.23,67.3,Preferred
335-10-1235,23334.55,3271.47,90.9675,65.18258239820445,46.7,24.4,80.4818,83.7981,0.5068,1,8139.04,72.54,23.7,Regular
336-10-1236,48369.64,2532.43,67.0952,48.89081154920878,53.9,70.59,77.2219,41.0731,0.5396,1,2233.65,59.4,29.1,Regular
